,s1,s2,s3,Average alpha
Apr-20,32.6,77.6,75.6,0.65 
May-20,81.6,105.4,102.8,0.84 
Jun-20,145.4,128.4,128.4,0.93 
Jul-20,48.6,45.8,45.8,0.90 
Aug-20,28.2,33.8,33.8,0.91 
Sep-20,20.6,42.4,42.4,0.92 
Oct-20,31.6,63.4,61.2,0.92 
Nov-20,39.8,12.8,11.2,0.95 
Dec-20,22,23.2,23.2,0.97 
Jan-21,20.6,52.2,52.2,0.98 
Feb-21,42,21.8,21.2,0.99 
Mar-21,23,80.4,80.4,0.99 
Apr-21,81,50.8,50.8,1.00 
May-21,38.2,31.8,31.8,1.00 
Jun-21,24.2,73.6,73.6,1.00 
Jul-21,63,69.2,69.2,1.00 
Aug-21,56.4,33,33,1.00 
