,MSOA_code
21,E02001377
22,E02001383
23,E02001389
24,E02001390
25,E02001394
26,E02001395
27,E02001398
28,E02001399
29,E02001402
30,E02006932
31,E02001361
32,E02001364
33,E02001365
34,E02001370
35,E02001384
36,E02001385
37,E02001388
38,E02001393
39,E02001400
40,E02001401
41,E02001369
42,E02001371
43,E02001372
44,E02001375
45,E02001378
46,E02001380
47,E02001382
48,E02001387
49,E02001354
50,E02001355
51,E02001356
52,E02001357
53,E02001358
54,E02001362
55,E02001366
56,E02001359
57,E02001363
58,E02001367
59,E02001396
60,E02001347
61,E02001348
62,E02001350
63,E02001351
64,E02001353
65,E02001374
66,E02001376
67,E02001360
68,E02001373
69,E02001386
70,E02001391
71,E02001381
72,E02001403
73,E02001404
74,E02001405
75,E02001349
76,E02001352
77,E02001368
78,E02001392
79,E02001397
