,MSOA_code
0,E02001329
1,E02001331
2,E02001332
3,E02001336
4,E02001343
5,E02001344
6,E02001345
7,E02001346
9,E02001327
10,E02001328
11,E02001330
12,E02001333
13,E02001334
14,E02001335
15,E02001337
16,E02001338
17,E02001339
18,E02001340
19,E02001341
20,E02001342
21,E02001377
22,E02001383
23,E02001389
24,E02001390
25,E02001394
26,E02001395
27,E02001398
28,E02001399
29,E02001402
30,E02006932
31,E02001361
32,E02001364
33,E02001365
34,E02001370
35,E02001384
36,E02001385
37,E02001388
38,E02001393
39,E02001400
40,E02001401
41,E02001369
42,E02001371
43,E02001372
44,E02001375
45,E02001378
46,E02001380
47,E02001382
48,E02001387
49,E02001354
50,E02001355
51,E02001356
52,E02001357
53,E02001358
54,E02001362
55,E02001366
56,E02001359
57,E02001363
58,E02001367
59,E02001396
60,E02001347
61,E02001348
62,E02001350
63,E02001351
64,E02001353
65,E02001374
66,E02001376
67,E02001360
68,E02001373
69,E02001386
70,E02001391
71,E02001381
72,E02001403
73,E02001404
74,E02001405
75,E02001349
76,E02001352
77,E02001368
78,E02001392
79,E02001397
80,E02001407
81,E02001408
82,E02001413
83,E02001414
84,E02001416
85,E02001422
86,E02001423
87,E02001409
88,E02001410
89,E02001411
90,E02001417
91,E02001419
92,E02001421
93,E02001424
94,E02001425
95,E02001415
96,E02001418
97,E02001420
98,E02001406
99,E02001426
100,E02001427
101,E02001428
102,E02001412
103,E02001431
104,E02001435
105,E02001437
106,E02001438
107,E02001439
108,E02001440
109,E02001450
110,E02001456
111,E02001429
112,E02001430
113,E02001432
114,E02001458
115,E02001460
116,E02001464
117,E02001465
118,E02001466
119,E02001436
120,E02001441
121,E02001442
122,E02001443
123,E02001452
124,E02001459
125,E02001461
126,E02001449
127,E02001453
128,E02001462
129,E02001463
130,E02001433
131,E02001434
132,E02001444
133,E02001445
134,E02001447
135,E02001448
136,E02001454
137,E02001455
138,E02001457
139,E02001446
140,E02001451
141,E02001477
142,E02001485
143,E02001497
144,E02001498
145,E02001501
146,E02001481
147,E02001482
148,E02001487
149,E02001486
150,E02001490
151,E02001495
152,E02001502
153,E02001504
154,E02001505
155,E02001507
156,E02001508
157,E02001470
158,E02001471
159,E02001472
160,E02001473
161,E02001475
162,E02001478
163,E02001479
164,E02001480
165,E02001488
166,E02001492
167,E02001493
168,E02001500
169,E02001503
170,E02001506
171,E02001467
172,E02001468
173,E02001483
174,E02001491
175,E02001496
176,E02001474
177,E02001476
178,E02001489
179,E02001494
180,E02001499
181,E02001469
182,E02002574

