,MSOA_code
103,E02001431
104,E02001435
105,E02001437
106,E02001438
107,E02001439
108,E02001440
109,E02001450
110,E02001456
111,E02001429
112,E02001430
113,E02001432
114,E02001458
115,E02001460
116,E02001464
117,E02001465
118,E02001466
119,E02001436
120,E02001441
121,E02001442
122,E02001443
123,E02001452
124,E02001459
125,E02001461
126,E02001449
127,E02001453
128,E02001462
129,E02001463
130,E02001433
131,E02001434
132,E02001444
133,E02001445
134,E02001447
135,E02001448
136,E02001454
137,E02001455
138,E02001457
139,E02001446
140,E02001451
